hypoxia_score,cd8_effector_score,local_cd8_knn,niche,constraint_index,cell_type
0.07608614844011974,0.0,-0.01118345067568636,intermediate,0.33377324670829506,Fibroblasts
-0.37446649390530873,-0.033858917020110464,-0.009738068831594365,intermediate,-0.9755717895558378,Macrophages
-0.1028890724641731,0.0,-0.009741861070537695,permissive_high_CD8,-0.38745875906751065,Endothelial cells
-0.015551077792922178,0.0,-0.005324663967899626,intermediate,-0.035505249755361734,Fibroblasts
-0.20684924757624246,0.0,-0.00893128584271018,permissive_high_CD8,-0.8063961138479083,Fibroblasts
-0.14426814312915726,0.0,-0.00893128584271018,permissive_high_CD8,-0.5542075971583679,Monocytes
-0.046955342273635556,-0.0236677737371159,-0.003870076399583083,intermediate,0.19184209109443143,Fibroblasts
-0.02736363353499447,0.0,-0.0069025155503740195,intermediate,-0.08310733248026124,Fibroblasts
-0.002216600031259064,-0.017476635905895155,-0.006572952476429392,intermediate,0.2795547529394886,Fibroblasts
-0.05388554104839463,0.0,-0.0069025155503740195,intermediate,-0.18998496870409898,Fibroblasts
-0.012808886876546714,0.0,-0.0069025155503740195,intermediate,-0.024454804644329985,Macrophages
-0.012483144859712287,0.0,-0.005430758433785998,intermediate,-0.023142133722735863,Fibroblasts
0.0,0.0,-0.005430758433785998,intermediate,0.02716228026301206,Fibroblasts
-0.012585943482487077,0.0,-0.006278209454617519,intermediate,-0.023556390269090396,Fibroblasts
-0.12050284726552696,0.0,-0.006572952476429392,permissive_high_CD8,-0.45843851852849804,Endothelial cells
0.4101788729548933,-0.029403844825651965,-0.006278209454617519,hypoxic_CD8_low,2.1197659844888275,Endothelial cells
-0.15926598545059142,0.0,-0.006278209454617519,permissive_high_CD8,-0.6146457061052013,Endothelial cells
-0.07770872044276042,0.0,-0.008728535970052083,permissive_high_CD8,-0.28598730562951835,Fibroblasts
-0.26402380763287525,0.0,-0.010715037511910504,permissive_high_CD8,-1.0367974086229297,Fibroblasts
-0.10225505905457768,-0.01848917161887474,-0.010715037511910504,intermediate,-0.10843866270151314,Fibroblasts
-0.07546521382159498,-0.038038134092261436,-0.006875525666312812,intermediate,0.2918307191398959,Macrophages
0.2040860786974191,-0.04990577311650944,-0.007596047590618674,hypoxic_CD8_low,1.5958174710681206,Monocytes
-0.04067976335923834,0.0,-0.007596047590618674,intermediate,-0.1367684983879496,Fibroblasts
-0.12096817737602325,-0.012015613949733224,-0.007571535779718767,intermediate,-0.2806464506711056,Monocytes
0.0018755685852234194,0.0,-0.00663884448619024,intermediate,0.0347204220317776,Fibroblasts
-0.08979795831274316,0.0,-0.0074398854161724535,permissive_high_CD8,-0.3347043583768987,Fibroblasts
-0.12073481609543643,0.0,-0.0074398854161724535,permissive_high_CD8,-0.45937330348715183,Fibroblasts
-0.3257031421584777,-0.014002017164037294,-0.007705412927748541,intermediate,-1.0759824164069207,Endothelial cells
-0.25599652026073044,0.0,-0.01326794514932774,permissive_high_CD8,-1.0044491508970919,Fibroblasts
-0.2603886309397747,-0.03351266374472182,-0.008518695766948334,intermediate,-0.5210397695847452,Pericytes
-0.13157219484627966,-0.025820122074019087,-0.007670189526721371,intermediate,-0.1169621294776807,Fibroblasts
-0.20753866601660548,0.0,-0.013246276922393262,permissive_high_CD8,-0.8091743232673438,Macrophages
-0.1638182322662997,-0.05012864719035654,-0.008518695766948334,intermediate,0.11657408243494205,Endothelial cells
-0.3083793915897967,-0.01363434000053869,-0.008518695766948334,intermediate,-1.011669201307813,Monocytes
-0.26445041028371297,-0.0117492492382343,-0.007991539289755056,intermediate,-0.8628321795319661,Fibroblasts
-0.25097484665223396,0.0,0.013771541409271561,permissive_high_CD8,-0.9842128762289685,Fibroblasts
0.05817661299762955,-0.027536147036533124,-0.008967783512213291,intermediate,0.6733445394309657,Fibroblasts
-0.10766318141217213,-0.0394672517351776,-0.011577438310733853,intermediate,0.18344910152779131,Endothelial cells
0.3539235065261044,-0.033350736023443434,-0.012369994563773254,hypoxic_low_neighbor_CD8,1.9520859769535657,MAST cells
-0.15662183340294772,-0.017543335192599277,-0.014524272257178094,intermediate,-0.34166809616153615,Monocytes
-0.3960146616740399,-0.011600860217322222,-0.010754674520248022,intermediate,-1.3952269136147124,Fibroblasts
-0.019987846713468288,0.0,-0.013271141824452019,intermediate,-0.0533844831574001,Fibroblasts
0.00833970954619262,-0.013965992792415232,-0.012814391544151564,intermediate,0.2696004352912595,Fibroblasts
-0.21349423573199047,-0.01234145685728745,-0.011045033021172693,intermediate,-0.6486344825833784,Fibroblasts
-0.15243298940390468,0.0,-0.013404975021094608,permissive_high_CD8,-0.587110187951851,Monocytes
-0.041409952094755974,0.0,-0.01128255474744377,intermediate,-0.13971100340988166,Macrophages
0.2059306906887805,-0.017855794806229442,-0.011016953554552416,hypoxic_CD8_low,1.1240134771277894,Endothelial cells
-0.07454444701413074,0.0,-0.010460980475833704,permissive_high_CD8,-0.2732359579277375,Fibroblasts
-0.17756383198810868,0.0,-0.012540155351564147,permissive_high_CD8,-0.6883821289069284,Fibroblasts
0.10195105071048663,-0.014745641816482852,-0.008547980518315323,intermediate,0.6584921416989027,Monocytes
-0.30972118454285896,-0.024713956392728366,-0.008547980518315323,intermediate,-0.8514048900067974,Fibroblasts
-0.11038748806260197,0.0,-0.009701983713106266,permissive_high_CD8,-0.41767577623262664,Monocytes
-0.17123069916384287,-0.016984155786182235,-0.009701983713106266,intermediate,-0.4089000185046304,Monocytes
-0.10766948562070548,0.0,-0.0068456023649969885,permissive_high_CD8,-0.4067228055198774,Monocytes
-0.059695603857078706,0.0,-0.005249273696569939,intermediate,-0.2133982838659305,Monocytes
-0.04509198210804338,0.0,-0.005520018424421509,intermediate,-0.15454879982880648,Endothelial cells
-0.2714162006914376,-0.02969925992401988,-0.008599248942736833,intermediate,-0.6224996467833174,Pericytes
-0.05525143558241756,0.0,-0.007104288389486501,intermediate,-0.19548923264339793,NK cells
-0.09900257769358685,0.0,-0.00438774137200936,permissive_high_CD8,-0.3717970132422266,MAST cells
-0.0757108787934943,0.0,-0.006090119525327695,permissive_high_CD8,-0.2779364294655315,DCs
-0.12207322331317458,-0.014316262503867208,-0.005808957224754508,intermediate,-0.25069837879446377,Monocytes
0.11007293663829207,0.0,-0.008842018130015426,intermediate,0.4707327615405372,Macrophages
-0.07640637930138523,0.0,-0.006837532169583998,permissive_high_CD8,-0.28073914832119096,Fibroblasts
-0.28220339855515814,-0.010923189672863917,-0.008539910322902333,intermediate,-0.9467248552379869,Fibroblasts
-0.011605318291599014,0.0,-0.0018519847499214204,intermediate,-0.019604679692816335,Fibroblasts
-0.03959447408775728,0.0,-0.003925775612896753,intermediate,-0.132395013867789,Fibroblasts
-0.21307422071096888,0.0,-0.00342195957456684,permissive_high_CD8,-0.8314814292182415,MAST cells
0.3220898458756596,0.0,-0.009328653294386974,intermediate,1.325115731065822,Monocytes
-0.2625224714777077,-0.014200126593894804,-0.010384635757981686,intermediate,-0.8184154819483659,Fibroblasts
-0.034440527000580444,0.0,-0.005494336850247402,intermediate,-0.11162570526425505,Fibroblasts
-0.06507504632674072,-0.01321018948728739,0.01812723289635035,intermediate,-0.03754677508624185,Endothelial cells
-0.16667130864767665,0.0,0.018758409372565097,permissive_high_CD8,-0.6444875807282138,Endothelial cells
