gene,pearson_r,n_spots
BRD8,0.18459265697497473,387
RPL23A,0.18441790617164214,387
RANBP10,0.18387133473484854,387
TSTD1,0.18385005491261747,387
TOP1MT,0.1838154901018631,387
IFI6,0.18324220946313324,387
PLEKHM2,0.18318141609615912,387
SYT13,0.18317389821075444,387
CDCA3,0.18297294463840535,387
FAM13A,0.18287728803703138,387
USP11,0.1828444396575776,387
ATP11B,0.18259232508060572,387
COP1,0.18241392388066288,387
FEM1A,0.18179794968899815,387
DNTTIP1,0.18167991972575528,387
PBX1,0.18144271667763287,387
CUL1,0.1811800409966857,387
TFF1,0.18103524219823025,387
CHCHD7,0.18083417835028312,387
CDH13,0.18071236646385186,387
CCDC14,0.18046731043359754,387
CFB,0.1803118969858335,387
B3GALT5,0.17999640592607227,387
FEN1,0.1799801640757721,387
PRSS33,0.17955005488101222,387
SLC38A1,0.17922725060467035,387
PLS3,0.17867083085736704,387
ZNF384,0.17861487070933413,387
TP53RK,0.17859282869934998,387
ATP8A1,0.17792456162893985,387
EHMT1,0.17717445370914472,387
PHLDB2,0.1763405789706309,387
GATA6,0.17588382241733036,387
TSR2,0.175685113061543,387
HAUS2,0.17557631246387242,387
NCAPG,0.17507910473345645,387
HHIP,0.1749186035380919,387
CPA3,0.1748752825666374,387
MRPL35,0.17485566649341025,387
COX6C,0.17435781150635035,387
DLGAP5,0.17409447142696788,387
NSUN2,0.17406876887423495,387
ECHS1,0.1726943445418399,387
SLC9A2,0.17250752193943214,387
PHLPP2,0.17241573261532714,387
FOXQ1,0.1723471212163745,387
TMEM242,0.17196924976451472,387
ENTPD5,0.1719675389376824,387
ELF1,0.1716680214638682,387
KIF12,0.17163969996171816,387
KCNMB1,0.17112727889735788,387
MAGEH1,0.17088249490439067,387
WASL,0.17065932548176166,387
FAM3C,0.17061289165069543,387
NDUFA8,0.1705427060698439,387
HS1BP3,0.17035591079494553,387
MCM4,0.17027875553268845,387
TMEM216,0.17019303554059842,387
LAMA4,0.1701902809331378,387
ABCA5,0.16896400669367223,387
EIF3L,0.16894514005059427,387
COL7A1,0.16889890934138221,387
DUOXA2,0.1686724809610628,387
AEN,0.16832378613454366,387
KBTBD11,0.16826652444921522,387
LSM6,0.1679967995873357,387
CDK18,0.16778058772762333,387
TLN2,0.16759841249709806,387
ZNF267,0.16756818071495044,387
KIF2C,0.16747103583719433,387
REP15,0.16732732091604205,387
ELAVL1,0.16703021790959016,387
ITGA1,0.16668218455161765,387
C12orf57,0.16658297269247083,387
PRXL2A,0.16625228290299057,387
GADD45G,0.16621145948726693,387
CIAO2A,0.1659414613097088,387
CASP6,0.16593195869182004,387
UBE2C,0.16591476808318345,387
RAB11FIP1,0.16589211414708147,387
COL15A1,0.16540874225929916,387
GRB2,0.16535531204256118,387
NEURL1B,0.16525753643892938,387
EME2,0.16520312972213805,387
MRTFB,0.1650923760500163,387
CLDN3,0.1650903215568194,387
ERCC5,0.1647666871643437,387
CHI3L2,0.1643906844437591,387
PRSS22,0.16412806026864768,387
NUP107,0.1639775527987838,387
IHH,0.1638885493144623,387
GMCL1,0.16381509046392223,387
TAP1,0.16376286577339524,387
FANCI,0.163612672185029,387
RRM1,0.16354358474582362,387
ATP8B1,0.1633244348132593,387
TIMMDC1,0.1633219896358944,387
CHTF18,0.1626620831819522,387
COG1,0.16230498115507802,387
MUC12,0.1622823712717136,387
ECRG4,0.162255751140974,387
AMOT,0.1622037635875281,387
SWI5,0.16211689306660068,387
