dataset_id,technology,organ,species,target_gene,status,n_cells,n_types,n_ligands_used,radius,alpha,r2_genius,r2_silly,r2_abundance,ridge_r2_genius,ridge_r2_silly,ridge_r2_abundance,feature_col_pearson_silly,feature_col_pearson_abund,silly_coef_pearson,silly_coef_cosine,silly_coef_mae,silly_coef_rmse,silly_support_jaccard,silly_sign_agreement,silly_n_nonzero_genius,silly_n_nonzero_other,silly_both_zero_frac,silly_degenerate_both_zero,abund_coef_pearson,abund_coef_cosine,abund_coef_mae,abund_coef_rmse,abund_support_jaccard,abund_sign_agreement,abund_n_nonzero_genius,abund_n_nonzero_other,abund_both_zero_frac,abund_degenerate_both_zero,ridge_silly_coef_pearson,ridge_silly_coef_cosine,ridge_silly_coef_mae,ridge_silly_coef_rmse,ridge_silly_support_jaccard,ridge_silly_sign_agreement,ridge_silly_n_nonzero_genius,ridge_silly_n_nonzero_other,ridge_silly_both_zero_frac,ridge_silly_degenerate_both_zero,ridge_abund_coef_pearson,ridge_abund_coef_cosine,ridge_abund_coef_mae,ridge_abund_coef_rmse,ridge_abund_support_jaccard,ridge_abund_sign_agreement,ridge_abund_n_nonzero_genius,ridge_abund_n_nonzero_other,ridge_abund_both_zero_frac,ridge_abund_degenerate_both_zero
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Ccl5,ok,8000,6,30,402.3900531212855,0.007542686099662207,0.10880415502804808,0.05338468110589789,0.03999665328774171,0.12786878999407636,0.05552155861102892,0.04063310305218515,0.3084873536833713,0.19846602312234474,0.005725505061326082,0.0,0.005935778753495182,0.0159586355509319,0.0,,4,2,0.8,False,-0.004389588738795566,8.92509668956958e-16,0.005627870729803851,0.01644231201355374,0.0,,4,1,0.8333333333333334,False,0.1625454753388348,0.16227576004253766,0.3949761556413543,0.5934108469495618,1.0,0.5333333333333333,30,30,0.0,False,,0.009893605411709031,0.09055135865982314,0.11333508865322636,1.0,0.4666666666666667,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,C3,skipped_weak_genius,8000,6,30,402.3900531212855,0.0009384765224759121,0.01006776727088976,0.0009780536355257219,0.00067464449755128,0.015831414263177024,0.000987840648452476,0.0006855112657976337,0.3084873536833713,0.19846602312234474,-0.003461869643598906,0.0,0.0035256019156017834,0.007491849590444886,0.0,,8,1,0.7,False,0.0034618696435991074,-3.299101843100626e-17,0.0034756677422355317,0.007443300734898202,0.0,,8,1,0.7,False,0.06406296015929258,0.06599261247739292,0.06194499496771247,0.07806572634728198,1.0,0.4666666666666667,30,30,0.0,False,,-0.03084275848314803,0.06205621182513591,0.07810803755550946,1.0,0.4,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Zfas1,skipped_weak_genius,8000,6,30,402.3900531212855,0.0008370649475607201,0.004947782499081899,0.00023643930618388875,0.00023612152749818982,0.005150087596855535,0.00024522235514734536,0.0002452673830733998,0.3084873536833713,0.19846602312234474,-0.5274704995140064,-0.5343256124800747,0.001486660014122769,0.004309912143712839,0.25,0.0,4,1,0.8666666666666667,False,0.018754097780632705,0.0,0.0014865664614884511,0.003986002134454549,0.0,,4,1,0.8333333333333334,False,0.29115038745114596,0.12010383314320972,0.002445482040063283,0.0030312355775844128,1.0,0.6,30,30,0.0,False,,-0.08668750805303801,0.002461843112590121,0.003061745780364251,1.0,0.5333333333333333,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Atp5k,skipped_weak_genius,8000,6,30,402.3900531212855,0.0024272033192421086,0.0032733070099499884,0.0004252232590550298,0.00014090655134124663,0.004428601780384289,0.0005062902261612212,0.00022098505009071623,0.3084873536833713,0.19846602312234474,-0.027159823151924892,0.0,0.0006204955564495652,0.002410482364693545,0.0,,3,1,0.8666666666666667,False,0.027159823151927116,0.0,0.0005516636069481625,0.002333958932041117,0.0,,3,1,0.8666666666666667,False,0.12781883083544196,0.1267625818817052,0.0024393551421272733,0.002966224268198166,1.0,0.4666666666666667,30,30,0.0,False,,-0.012085081290203532,0.0024007127308922913,0.0029936620549608065,1.0,0.5333333333333333,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Banf1,skipped_weak_genius,8000,6,30,402.3900531212855,0.0036309144920198488,0.0009333753526297173,0.0004657551314138919,0.00045992568392394517,0.0017408867678121442,0.0009535399165604419,0.0006408530725703354,0.3084873536833713,0.19846602312234474,-0.046269576154123464,0.0,0.0003030414474169261,0.0010003646668134327,0.0,,3,1,0.8666666666666667,False,-0.04626957615412735,0.0,0.0003020078306806154,0.000997034220125808,0.0,,3,1,0.8666666666666667,False,0.2363315538893589,0.22578869959039832,0.02822395171880649,0.04139119935405203,1.0,0.5,30,30,0.0,False,,0.12459823740119015,0.0015380653347298746,0.002051173162029122,1.0,0.7,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Psmb4,skipped_weak_genius,8000,6,30,402.3900531212855,0.0030233243281726292,0.0003713300969130362,0.00012415875336335702,0.0,0.0011554275842318162,0.0008469712289242981,7.916901304749757e-06,0.3084873536833713,0.19846602312234474,-0.02269556762980112,0.0,0.0001538753731448967,0.0004801401161717924,0.0,,3,1,0.8666666666666667,False,,,0.00011312725596540175,0.0004251144075978215,0.0,,3,0,0.9,False,0.028495227466736994,0.03262009287653662,0.19380525119827047,0.27954387784306206,1.0,0.5,30,30,0.0,False,,0.049085174108597446,0.0017490530982191856,0.0022082796832686687,1.0,0.43333333333333335,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Thy1,ok,8000,6,30,402.3900531212855,0.004037328296260611,0.035467748903012075,0.03595669772209742,0.0349464018569432,0.04007192779790347,0.03859344353924965,0.03520135755052378,0.3084873536833713,0.19846602312234474,-0.02466027813605215,0.0,0.0032935997683939313,0.007951136005992532,0.0,,5,2,0.7666666666666667,False,-0.01812192425536022,0.0,0.0032560708832333448,0.009446613380071474,0.0,,5,1,0.8,False,0.03946255687206965,0.038106136916163866,0.2745126194615601,0.39605923325558806,1.0,0.4666666666666667,30,30,0.0,False,,0.07676755491394818,0.010969436911398364,0.01322505227223346,1.0,0.6,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Ms4a1,ok,8000,6,30,402.3900531212855,0.0018327992130915125,0.06069074363031235,0.03726014345032769,0.03722455072670772,0.0659423369172264,0.0374641492872555,0.03726728503795751,0.3084873536833713,0.19846602312234474,-0.1799252177665478,-0.18239114144832205,0.006034916293353275,0.015388992960414582,0.3333333333333333,0.6666666666666666,9,3,0.7,False,0.3788814457238789,0.3657160178296219,0.005446468644657817,0.013141647617901054,0.1111111111111111,1.0,9,1,0.7,False,-0.256224909639686,-0.25506557538993524,0.04004926433710028,0.05618781950082374,1.0,0.5,30,30,0.0,False,,0.005703228928204751,0.02946658870639423,0.037656613798338276,1.0,0.5333333333333333,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Swi5,skipped_weak_genius,8000,6,30,402.3900531212855,0.004401117840780591,0.0009102089915600242,0.00028317139474653974,0.0,0.0024040940343011963,0.0006145207228878125,8.057864400390358e-05,0.3084873536833713,0.19846602312234474,-0.028390704065598852,0.0,0.00022433965991174002,0.0008468826490226654,0.0,,2,1,0.9,False,,,0.0001624881935666731,0.0007761714401758148,0.0,,2,0,0.9333333333333333,False,0.2049448493575871,0.19435886119972567,0.00210360995432693,0.0027779156041264122,1.0,0.4666666666666667,30,30,0.0,False,,-0.013907311815094926,0.0021760355681019043,0.0028336553623735886,1.0,0.4,30,30,0.0,False
mouse_ln_slideseqv2,SlideSeqV2,lymph_node,mouse,Tuba1a,skipped_weak_genius,8000,6,30,402.3900531212855,0.0016046713389745546,0.003614361782470099,0.0006705219160477727,0.0002743042364873327,0.0043607703163320855,0.0007073915701028,0.00031099802496870055,0.3084873536833713,0.19846602312234474,-0.02194099619923478,0.0,0.0010506681443968975,0.0031603729636198938,0.0,,5,2,0.7666666666666667,False,0.01995892023244758,5.611934201677172e-17,0.0009710681241786527,0.003078157062918338,0.0,,5,1,0.8,False,0.22169293095710813,0.22984458177213152,0.0023116670154718698,0.0029795452817851843,1.0,0.5,30,30,0.0,False,,-0.06275998726268049,0.002415878006585333,0.0030704820260119064,1.0,0.43333333333333335,30,30,0.0,False
