dataset_id,technology,organ,target_gene,n_types,n_ligands,type_feat_pearson,ridge_silly_coef_pearson,ridge_silly_coef_cosine,ridge_abund_coef_pearson,ridge_abund_coef_cosine
human_tonsil_slidetags,SlideTags,tonsil,CLU,11,10,0.9782254981297234,0.9714032692336017,0.9780565842782799,,0.4807933516615615
human_tonsil_slidetags,SlideTags,tonsil,SKAP1,11,10,0.9782254981297234,0.8784195488847262,0.8778922577705818,,-0.1053771512540868
human_tonsil_slidetags,SlideTags,tonsil,IGHG3,11,10,0.9782254981297234,0.9857001389985949,0.9933251923158561,,0.7289958295006623
human_tonsil_slidetags,SlideTags,tonsil,IGHG1,11,10,0.9782254981297234,0.9856314722366271,0.9933988318282461,,0.7340708286665958
human_tonsil_slidetags,SlideTags,tonsil,CD74,11,10,0.9782254981297234,0.9451588125074352,0.9448048151028194,,0.08680730549597658
human_tonsil_slidetags_fine,SlideTags,tonsil,HMGB1,12,10,0.9856175497572123,0.9175101559542245,0.8319401352141467,,0.6494726493728054
human_tonsil_slidetags_fine,SlideTags,tonsil,LRMP,12,10,0.9856175497572123,0.2500657511505944,0.1486880994463757,,0.8638634727639428
human_tonsil_slidetags_fine,SlideTags,tonsil,FDCSP,12,10,0.9856175497572123,0.8165712078569372,0.9894942712866208,,0.9704710285508459
human_tonsil_slidetags_fine,SlideTags,tonsil,PTPRC,12,10,0.9856175497572123,0.912887784172862,0.8997511663376209,,0.453796129225631
human_tonsil_slidetags_fine,SlideTags,tonsil,IGLC1,12,10,0.9856175497572123,0.9410942163527252,0.9970002152914902,,0.9826995969852531
human_tonsil_slidetags_fine,SlideTags,tonsil,IGHA1,12,10,0.9856175497572123,0.9396522732353539,0.9966558361127575,,0.9804577365577988
human_tonsil_slidetags_fine,SlideTags,tonsil,TOX,12,10,0.9856175497572123,0.866062592480701,0.9866934672807504,,0.947257849721755
human_tonsil_slidetags_fine,SlideTags,tonsil,IGHG3,12,10,0.9856175497572123,0.9453351871927325,0.996593787176539,,0.9807344519205775
human_tonsil_slidetags_fine,SlideTags,tonsil,IGHG1,12,10,0.9856175497572123,0.9442464584375825,0.996698180390417,,0.981233272935724
human_tonsil_slidetags_fine,SlideTags,tonsil,CD74,12,10,0.9856175497572123,0.5397074883852491,0.5394023879182119,,0.11715754713235764
human_tonsil_slidetags_fine,SlideTags,tonsil,CLU,12,10,0.9856175497572123,0.7990437293921038,0.9910178206871634,,0.9768697019100318
human_tonsil_slidetags_fine,SlideTags,tonsil,BANK1,12,10,0.9856175497572123,0.19574588407339227,0.19171048344413952,,0.27766490043605635
human_tonsil_slidetags_fine,SlideTags,tonsil,ARHGAP24,12,10,0.9856175497572123,0.8510596509427084,0.9485364568901824,,0.8024333076440124
human_tonsil_slidetags_fine,SlideTags,tonsil,MYO1E,12,10,0.9856175497572123,0.19038884859489083,0.18184595940869008,,0.4052310170189691
human_tonsil_slidetags_fine,SlideTags,tonsil,PAX5,12,10,0.9856175497572123,0.9324865171253061,0.9971280234090907,,0.9793535737033193
human_melanoma_slidetags,SlideTags,tumor_melanoma,CBLB,7,6,0.9828833818349407,0.830033424119493,0.9675694247901105,,0.9011396584745092
human_melanoma_slidetags,SlideTags,tumor_melanoma,TOX,7,6,0.9828833818349407,0.7952009341085883,0.9677866221134896,,0.9129836615673727
human_melanoma_slidetags,SlideTags,tumor_melanoma,PTPRC,7,6,0.9828833818349407,0.8300313524653861,0.9566700722122106,,0.8533207266678077
human_melanoma_slidetags,SlideTags,tumor_melanoma,FMN1,7,6,0.9828833818349407,0.9959966094879963,0.9962334945823161,,0.3134849418013525
human_melanoma_slidetags,SlideTags,tumor_melanoma,CDH19,7,6,0.9828833818349407,0.9962190537127189,0.9939324347997167,,0.19803730791815616
human_melanoma_slidetags,SlideTags,tumor_melanoma,FMNL2,7,6,0.9828833818349407,0.8421760356669077,0.793598816775165,,0.4060144164846309
human_melanoma_slidetags,SlideTags,tumor_melanoma,BCL2,7,6,0.9828833818349407,0.9421802105285593,0.911862347035075,,0.06150349603619643
human_melanoma_slidetags,SlideTags,tumor_melanoma,ST6GAL1,7,6,0.9828833818349407,0.7011897118649467,0.7565716132539896,,0.4006952532178694
human_melanoma_slidetags,SlideTags,tumor_melanoma,B2M,7,6,0.9828833818349407,0.9949425025894496,0.9928848522463103,,0.2655731980643043
human_melanoma_slidetags,SlideTags,tumor_melanoma,IGLC3,7,6,0.9828833818349407,0.0138036064454541,0.19269660066858557,,0.39556106290760273
human_melanoma_slidetags,SlideTags,tumor_melanoma,FNDC3B,7,6,0.9828833818349407,0.9060741940449805,0.9227671095680934,,0.4267607701605678
human_melanoma_slidetags,SlideTags,tumor_melanoma,IGHGP,7,6,0.9828833818349407,0.9944813292489953,0.9898668200801033,,0.3743432565434125
human_melanoma_slidetags,SlideTags,tumor_melanoma,KCNMA1,7,6,0.9828833818349407,0.8689391897233558,0.8062979927795452,,0.38629151747090157
human_melanoma_slidetags,SlideTags,tumor_melanoma,DISC1FP1,7,6,0.9828833818349407,0.9962150098197726,0.993924160217527,,0.19913188421731706
human_melanoma_slidetags,SlideTags,tumor_melanoma,GLCCI1,7,6,0.9828833818349407,0.9818363249346269,0.9797521347135999,,0.2468853512803489
mouse_kidney_visiumhd,VisiumHD,kidney,Igfbp7,7,6,0.9215343598301073,0.8668857688317793,0.961981474115565,,0.8657203835822722
mouse_kidney_visiumhd,VisiumHD,kidney,Slc27a2,7,6,0.9215343598301073,0.9849249115502994,0.9270550415427555,,-0.15004821715214076
mouse_kidney_visiumhd,VisiumHD,kidney,Aldob,7,6,0.9215343598301073,0.44894541853499603,0.39607366094123087,,-0.216924478067908
mouse_kidney_visiumhd,VisiumHD,kidney,Chpt1,7,6,0.9215343598301073,0.40447779959929603,0.4205658342572275,,-0.39034703891531775
mouse_kidney_visiumhd,VisiumHD,kidney,Prdx5,7,6,0.9215343598301073,0.24512333454982127,0.24437595625198805,,-0.04745479831895932
mouse_kidney_visiumhd,VisiumHD,kidney,Slc34a1,7,6,0.9215343598301073,0.9852742355999722,0.9302090630050869,,-0.12222527641249849
mouse_kidney_visiumhd,VisiumHD,kidney,Acsm2,7,6,0.9215343598301073,0.9824034556307737,0.8988894700044868,,-0.22552481284608406
mouse_kidney_visiumhd,VisiumHD,kidney,Pck1,7,6,0.9215343598301073,0.5938151405819996,0.5596814024368955,,-0.31798471967073716
mouse_kidney_visiumhd,VisiumHD,kidney,Timp3,7,6,0.9215343598301073,0.9888576382665726,0.987348180940786,,0.35742137272683
mouse_kidney_visiumhd,VisiumHD,kidney,Ass1,7,6,0.9215343598301073,0.5282495983511176,0.47931018521925445,,-0.1718292009367434
mouse_kidney_visiumhd,VisiumHD,kidney,Miox,7,6,0.9215343598301073,0.9847680731188813,0.9264904357159229,,-0.15599473113371765
mouse_kidney_visiumhd,VisiumHD,kidney,Odc1,7,6,0.9215343598301073,0.9000826563419027,0.8486770668198481,,0.021638576778245096
mouse_kidney_visiumhd,VisiumHD,kidney,Cox7b,7,6,0.9215343598301073,0.5181387785769049,0.9081853648734023,,0.9180891015333273
mouse_kidney_visiumhd,VisiumHD,kidney,Lrp2,7,6,0.9215343598301073,0.6772498113060065,0.6533963852426176,,-0.17613047553665978
mouse_kidney_visiumhd,VisiumHD,kidney,Atp5o,7,6,0.9215343598301073,0.5321632473629756,0.8650122548493776,,0.9180357894702843
mouse_brain_slideseqv2,SlideSeqV2,brain,Mbp,4,3,0.9868557770982411,0.9831425585596534,0.7755026391850461,,0.9342371387614309
mouse_brain_slideseqv2,SlideSeqV2,brain,Cst3,4,3,0.9868557770982411,0.9727880896274036,0.4415634768859385,,0.31816732424510835
mouse_brain_slideseqv2,SlideSeqV2,brain,Apoe,4,3,0.9868557770982411,0.9913620697921526,0.9851526166989888,,0.7331737502660286
mouse_brain_slideseqv2,SlideSeqV2,brain,Calm1,4,3,0.9868557770982411,0.9939136767758685,0.972581221045614,-0.8299139151206016,0.7368764446510458
mouse_brain_slideseqv2,SlideSeqV2,brain,Ckb,4,3,0.9868557770982411,0.9948432036667811,0.6627016070253529,,0.47677783162053544
mouse_brain_slideseqv2,SlideSeqV2,brain,Kif5a,4,3,0.9868557770982411,0.9974309511786836,0.997066234742705,,0.8646817447622668
mouse_brain_slideseqv2,SlideSeqV2,brain,Sparcl1,4,3,0.9868557770982411,0.8451873784958117,0.7367678583295673,,0.45719069557503494
mouse_brain_slideseqv2,SlideSeqV2,brain,Gnas,4,3,0.9868557770982411,0.9817533839641754,0.9975452573550766,,0.954355097832799
mouse_brain_slideseqv2,SlideSeqV2,brain,Cpe,4,3,0.9868557770982411,0.9985736472608013,0.9929973451063756,,0.9558807972235537
mouse_brain_slideseqv2,SlideSeqV2,brain,Meg3,4,3,0.9868557770982411,0.9285717691897897,0.5427779414590179,,0.9394347270358974
mouse_brain_slideseqv2,SlideSeqV2,brain,Calm2,4,3,0.9868557770982411,0.998044539529169,0.8980505097596208,-0.8374739166102464,0.7587344763349331
mouse_brain_slideseqv2,SlideSeqV2,brain,Snap25,4,3,0.9868557770982411,0.995941978530887,0.9482819355736856,-0.7997210993781255,0.6833412410702294
